// Monsters Additional Database
//
// Structure of Database :
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper

// Conquest Battleground
2105,S_EMPEL_1_BG,Guardian Stone,Guardian Stone,90,500,0,0,0,0,1,1,100,99,1,1,1,1,1,1,0,0,2,0,20,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2106,S_EMPEL_2_BG,Guardian Stone,Guardian Stone,90,500,0,0,0,0,1,1,100,99,1,1,1,1,1,1,0,0,2,0,20,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2107,EMPELIUM_BG,Emperium,Emperium,90,250,0,0,0,0,1,1,100,99,1,1,1,1,1,1,0,0,2,0,20,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2110,EASTER_EGG_O,Easter Egg,Easter Egg,1,1000,20,0,0,1,1,2,0,0,1,1,1,1,1,1,1,1,0,0,86,96,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111,EASTER_BUNNY_O,Easter Bunny,Easter Bunny,1,10,20,0,0,1,1,2,0,0,1,1,1,1,1,1,1,1,0,2,86,97,60,1456,456,336,0,0,0,0,0,0,0,2214,37,12019,1777,12310,1777,12105,77,644,90,664,12,665,34,667,56,0,0,666,78


2150,G_SEYREN__,Lord Knight Seyren,Lord Knight Seyren,99,347590,0,18000,10000,1,4238,5040,72,37,120,110,81,65,130,52,10,12,1,7,83,0x37B5,100,76,384,288,0,0,0,0,0,0,0,1132,250,2342,350,2412,900,1470,350,1469,300,1166,250,1415,150,0,0,0,0,0,0
2151,G_EREMES__,Assassin Cross Eremes,Assassin Cross Eremes,99,211230,0,18000,10000,1,3189,5289,27,39,90,181,62,37,122,60,10,12,1,7,85,0x37B5,100,76,384,288,0,0,0,0,0,0,0,1234,150,1230,25,2319,1000,1233,350,1232,350,1265,350,13002,350,0,0,0,0,0,0
2152,G_HARWORD__,Whitesmith Harword,Whitesmith Howard,99,310000,0,18000,10000,1,4822,5033,66,36,100,73,112,35,136,60,10,12,1,7,81,0x37B5,100,76,384,288,0,0,0,0,0,0,0,1138,350,1140,250,2318,900,1365,350,1364,350,1369,250,1368,350,0,0,0,0,0,0
2153,G_MAGALETA__,High Priest Magaleta,High Priest Margaretha,99,182910,0,18000,10000,1,1688,2580,35,78,1,84,64,182,92,100,10,12,1,7,86,0x37B5,125,1152,384,288,0,0,0,0,0,0,0,1814,350,2615,250,2513,900,1557,350,1527,350,1528,250,1560,350,1636,20,0,0,0,0
